Category,Name,Description,StressLevelCategory
Breathing Exercise,Box Breathing,"Inhale 4s, hold 4s, exhale 4s, hold 4s. Repeat 4 times.",High
Breathing Exercise,4-7-8 Breathing,"Inhale 4s, hold 7s, exhale 8s. Repeat slowly 3 times.",High
Mindfulness,Body Scan,"Close your eyes and scan your body from head to toe, noticing tension.",Medium
Mindfulness,2-Minute Focus,"Focus on your breath for 2 minutes. If your mind wanders, gently return.",Medium
Movement,Stretch Break,Stand and stretch your arms overhead. Hold for 5 seconds. Repeat 3x.,Medium
Movement,Walk It Off,Walk around for 5 minutes without your phone. Focus on your surroundings.,Medium
Grounding,5-4-3-2-1 Grounding,"Name 5 things you see, 4 you can touch, 3 you hear, 2 you smell, 1 you taste.",High
Grounding,Feel Your Feet,Place both feet on the ground. Feel the floor. Breathe slowly.,High
Motivational Message,You're doing your best,You're doing your best. Take one step at a time.,Low
Motivational Message,This too shall pass,This too shall pass. You have overcome hard things before.,Low
Mental Habit,Gratitude Note,Write down one thing you're grateful for right now.,Low
Mental Habit,Label Your Emotion,Say: 'I'm feeling [emotion]. It's okay to feel this way.',Low
